name,sex,sign,content
Edwardlch,保密,,凭借这场3D放送，YAGOO再次证明了他们公司不仅是家偶像事务所，也是业界顶尖的3D技术公司！
骚炮的爱抚,保密,我和自己贴贴,只有两个手指头的励志神经病大姐姐要加油呀[蛆音娘_卖萌]
Exlieven,保密,Keep Calm and Carry On,在你面前的是！$18年3月正式出道！（现在终于熬出头）$hololibe所属！（吃了饭那种大声）$11区V圈打块第一人！（好 同 行）$极致病娇！（边笑边杀）$真实偶像！（yagoo：我想起一个高兴的事情，星姐唱歌了）$全能战士！（各种意义上）$从不放弃！$绝不认输！$屡战屡败！$屡败屡战！$全世界最耀眼的彗星！$今天也很可爱的——————$星街彗星！！！！！！（破音）$$自星河而来，携耀眼之光$无人问津，无人在意$$星光已至，星光闪耀$着星空之装，耀光芒万丈真的是个非常努力的孩子啊，记得第一次看到的时候还是19年4月左右，不过当时沉迷于夏色hero，根本没在意别的，不过当时侧马尾确实给我一些印象。后来出新歌的时候又看到一次，不过没有特别在意，也看了看视频之类的，没有太多的想法。说实话，现在挺后悔错过的这两次没早点儿认识，早点儿关注星姐。后来看好 同 行的视频的时候突然有了兴趣，不过也就只限于“这孩子，很有意思啊”这样子，再然后又看到了别的UP（宅妈）关于星姐的故事，自己也去了解了很多，然后发现，一种说不出来的，感动？甚至有一种看少年热血漫的感觉，从默默无名，到为人熟知，再到绽放光芒。在此之前我一直是一个祭妹单推人，但现在，我发现了一颗耀眼的彗星。
进击的豆君,保密,垂死病中惊坐起，风风雨雨又一年,自动收钱直播间，载入史册[笑哭]
星辰利剑,男,只想做自己喜欢的，仅此而已,星姐连续11小时虚空第一，星姐虚空之女说$星姐11小时虚空第一让其他主播感到恐惧，星姐虚空恐惧说$星姐连续11小时掠夺大家的钱包，星姐虚空掠夺者说$星姐虚空第一时的视频有打块挖掘，星姐虚空遁地兽说$星姐准时下播跑路，星姐虚空行者说$星姐能够准确地做出T旋，眼力很好，星姐虚空之眼说$星姐直播间在轮播时，大家都能预测出星姐下一步的动作，星咏者虚空先知说
的卢卢卢卢卢卢卢,保密,,你知道吗$太阳坍缩以后形成的超新星十分耀眼$无数行星黯然失色$更别说划破天际的小小一颗彗星了$但就是这样一个遨游在星海中的小小彗星$$就是这样一颗小小的彗星$在感叹着其他耀眼的光华时$看到了自己身后闪起的光点$“又是哪颗超新星吧”$ $待到光点接近$她才知道$那是属于她自己的星辰舰队
freeze_DD,保密,"DD也就图一乐,我图一乐。",可惜了3D不能打块。$这唱功不去偶像出道，打什么块23333
补给舰旭东丸,保密,SynthV调校（试图）学习中/莫得感情的SV刊组抄榜&敲代码man,一个细节：$这期视频投的分区是“音乐&gt;音乐现场”而不是录播通常在的“动画&gt;综合”。
星街咸鱼,保密,すいちゃんは今日もかわいい！！！！！！！！,ーー彗星降落于凡世，人们所可以看到的是她心中炙热的火焰，是她灵魂闪耀的光芒。ーー$    从她降生以来就经历了大大小小的苦难，但也结交了各种各样的朋友，或痛苦、或悲伤、或快乐、或迷茫、也或想放弃。但她最终坚持了下来，击碎困苦，寻找着自己最开始就已设定的目的地，继续前行，继续迸发出属于自己独有的光芒，照亮属于我们星咏的世界，令人着迷，令人追寻，令人深陷其中。$    我们所追寻的不是那一层又一层的皮囊，一遍又一遍的话语，而是属于她的无法掩盖的灵魂，纯洁又富有浪漫情怀，使人迷醉，紧随着她绚烂的尾迹，紧随着她朦胧的星痕，在后方进行着观望，虽然我们的动作可能无法被看到，我们的声音可能无法被看到，我们的念想可能无法被感觉到，可我们只需要祝福就好，祝福她可以一往无前，祝福她可以留下精彩的过程，祝福她最终可以触摸到名为梦想的海洋。$    在宇宙中彗星往往是孤独的，独自一人的在漫漫宇宙中飞行，但世界上哪有绝对的事情呢？彗星虽然容易孤独，但她并不想孤独，她也想结识更多璀璨的星辰，更多有趣的灵魂，而我们也是如此想到的，我们也是希望我们所看到的是一颗孤零零的彗星划过天际，而是如流星雨一般涂满星空。而就算是孤独的彗星也会遇到与自己趣味相近的朋友，帮助自己的贵人，找到属于自己的大家庭，与其他人共同前行，共同发出属于追梦者是色彩，共同达到梦想的彼岸。$    而如同她所期待的，我们所期望的，彗星确实交到了一个个属于自己的朋友、知己，也加入了真正的属于自己的大家庭，共同携手迈向了梦想的云端。眺望着属于自己留下的痕迹，展开笑容。也希望之后她能迈向更高的舞台，向更多的人，向更多的星咏，散发出自己独有的光辉。$    我会祝福你，星街彗星...$    星咏会祝福你，星街彗星...$    加油吧！$    最后，这是她第一次真正亮相的日子，也是她的第二次生日将要来临的日子，而在这特殊的日子里，我献上自己最诚挚也是最为简洁的祝福：&#34;加油，星街彗星。你一定可以成为自己所期待的偶像，站在武道馆的舞台上，展现星光。suiちゃんは今日もかわいいいいいい！！！&#34;☄️☄️☄️$    最后的最后，希望星姐也能在最高的舞台上说出自己的名字&#34;星街すいせい&#34;
LoatIm,男,Hidden blessing.,当你被所有人都误认为精神病的时候，你就离成功不远了
