name,sex,sign,content
妄念宇宙,保密,,纯路人，以前一直听同学说b站很好，今天第一次下载来看了看，没想到刚一进入就发现了这个up的视频，这个up的视频质量是我从没见过的高。没想到，在当今这个浮躁的社会，竟然还能有人沉下心来做出一个个质量如此高的视频，泪目，白嫖了[doge]
挚爱小面包,女,就是个混吃混喝的大龄女青年,女主剩下的三世没有了，阿加西一个人该怎么办啊！看着女主出生长大衰老一次一次又一次……然后嘞，就剩他一个人了
伴瑞文等瑜洲,女,,小新娘歪着头笑着对大叔说“我喜欢你”的那一刹那，我就喜欢上小新娘了，那是第一次看鬼怪的时候，一瞬间，因为一个画面，喜欢上了这部剧
顾末拧,保密,,我要再去刷一遍！！！啊啊啊啊！这个调调我喜欢，好像全剧都是这个调调[喜欢][喜欢][喜欢][喜欢]
隔壁老王s版,保密,荣耀剑下取  均衡乱中求,我看的韩剧只有星星和鬼怪[喜欢]
仲夏夜的小尾巴,女,,我永远爱鬼怪！！不愧是我看了预告片就想追的剧[打call]从一开播就决定了我爱他呀！！！
吃土的鸭,女,taebts$j-hooope$脑can粉+杠精+dw远离我谢谢 ,这剧又甜又虐，bgm一起我都想哭，但是又想重温！！！
菟丝绒,保密,来吧 拆穿吧我的爱,哭了过了三年还有太太产出，希望现实中快成一对吧！！！
LovaJUSTin,保密,,集美我爱你！！！！！！！！！！！
火星来的蓝胖纸,保密,久しふﾞり 私はあなたを殺し. Die!,好好康！！
你的小张啊,保密,汤姆•费尔顿,看釜山行的时候就觉得男主好他喵man[doge][doge]又man又帅
不想再用原名了,保密,嘻嘻嘻,把它分享出去了！给少主打call[呲牙]
小猪佩奇1002,保密,,2020年了，我还躺在鬼怪的坑底[捂眼]
o栗子味的李子维o,保密,能让我打开pr的都是别人的爱情故事,看鬼怪前十集都想不通怎么弹幕全是二刷三刷的，看完....立马进入二刷
我的男神最好,保密,,还有一个点，三神奶奶在毕业典礼给女主送的花是棉花，棉花的花语有：母亲的爱……所以我也坚信女主变成了天使
暴比缇缇,保密,pljj我真的是太爱了,还是好爱鬼怪呀
83699703943_bili,保密,,剪的太好看了
麦唛克白,保密,,唯二吃的韩国cp[大哭][大哭][大哭]
蓝白5,保密,,BGM是什么
碗里有茶蛋,保密,,每年冬天必看，鬼怪居然已经是四年前的剧了，从播出到现在手机铃声一直是round and round，今年二月份时候已经开始十刷了，我真的太爱鬼怪了[大哭][大哭]
小林丧,女,要努力活下去啊,最爱还是我的鬼怪[大哭]
恩小宇,女,,我决定重刷
爱辛赵的大头,保密,宋大志，辛赵不宣，bz。不会搞视频只会弹幕啊啊啊啊啊啊啊。小白码字，暂时封笔。不会搞B站，瞎玩。,鬼怪一直是我心中韩剧top1！我三年手机铃都是stay with me以后还会一直用下去！整个色调超级舒服！衔接也超赞！阿婆太厉害了！必须三连！我想回顾鬼怪了www！！
岁哥鸽各个,保密,生活万岁$,问一下大家第二首bgm叫什么呀，一直找不到完整的声源
跃小逗,保密,抖音微博同名,[大哭]鬼怪
大盗睥睨四野,保密,很快乐的事没有$但这个世界真好,是我最喜欢的一部韩剧了
DEAN_SUGA,女,BTS.刘昊然.,2020了我也超爱鬼怪
春花秋月啊,女,小魔女到此一游，所到之处寸草不生,必须三连呀[热词系列_三连]
带着SA娇我哥来刷弹幕,女,sa娇赫宰的小老婆 赫儿的女票～,不得不说我已经看了不下10遍这个视频～真的是跟着回忆～太喜欢啦～
姐姐粉哦,保密,就是喜欢蔡徐坤,冬日必备哦😘😘😘
小小一只跳跳糖,保密,嘻嘻嘻嘻嘻,鬼怪心中韩剧top[呲牙]
bblady1314,保密,,想念孔叔鸭[大哭][大哭][大哭]
幸子拜托了丶,女,云想衣裳花想容，春风拂槛露华浓。,每年必看的剧，有笑有泪
羽亭yuting,保密,好好学习，天天向上。,初一看的我高二啦
泽莫男爵_,保密,能力有限，水平一般。,所以我永远无法接受鬼怪其他的拉郎，我只喜欢原配，因为原配就是绝好的[大哭]他们是这一辈子，下一辈子，下下辈子永永远远的互相救赎，是遇见你无与伦比的爱情啊[大哭]
阎祯,保密,老开闭村粉.生米一枚.现沉迷PD系列+梅溪湖.节操早已不在.荷包哭唧唧,微博的我来了（*/∇＼*）！！！！！
蟹味沙拉,保密,走自己的路,没看过剧的我已经看这个剪辑好多遍了，少主剪的视频看着真的好享受
橄榄绿_,保密,2016-6-23 14:02:39$追星狗，手帐小白，绘画小白，一只有猫的铲屎官。,这部剧真的是我最爱的一部韩剧了，表白鬼怪夫妇，神仙爱情啊
嵩嵩小靖,保密,,我永远吹爆少主！有你了不起！[支持][支持]
SKAMi2,保密,行到水穷处 坐看云起时,没看过 但听到bgm感觉好感动[大哭]
SKAMi2,保密,行到水穷处 坐看云起时,好的 我决定去看这部剧了
樱桃飞走了,保密,今天也是非常喜欢你。,表白太太！！！！鬼怪真的是我最喜欢的一部韩剧，太太剪的画面都特别美好呜呜呜
森娜SANNA,女,吃饭，睡觉,鬼怪是白月光啊
你可以去狗带了,男,拥抱你的背影,全剧都很神，ost我至今还在一直听，爱阿加西
小熊汗汗_,女,,我的最佳
菜菜菜阿懒,女,,2020还能看到鬼怪的剪辑5555555555555
雙重夢鏡,保密,,鬼怪百刷不腻
涂八九,女,事已至此先吃饭吧,0202年了我还在鬼怪的坑里不出来[doge]
想偷一束光给你,保密,没有个签,想去接着那时候的剧情看了
wsh6932,女,看动漫，享动漫,up主剪的超好啊！！！激动的快不行了[打call][打call][打call]
艾希333,保密,,被鬼怪种草了魁北克，好好存钱一定要去一趟
乔伊喜欢达西,女,既好水墨青花，何惧刹那芳华,又想再看一遍惹[鸡腿][鸡腿][鸡腿]
罐装小侑,保密,,我太爱鬼怪了
入夏吱,保密,,微博慕名赶来 啊啊啊啊啊啊啊真的好啊 是我最喜欢的两首歌 调色也很棒 ！
犭爪义勇,保密,TvT）,听着听着就哭了，
今天晴不晴,保密,,好棒啊!
本宫淑嘉皇贵妃金玉妍,女,,竟然已经四年了🙊
娇噤orz,女,,啊啊啊神仙剪辑
奶皇糖妃Candy,保密,微博ID：奶皇糖妃_candy$从开始到未来，只为王俊凯,播放有望突破15万[呲牙][呲牙]字幕超爱嘻嘻
筱面鱼鱼,保密,,哭了哭了哭了我哭了哭的好大声
机智的老绵羊,女,这个人很懒……,突然又想再看一遍
bili_72802430119,保密,,这剧无论是画面，配乐，演员，都无可挑剔，就是剧情后面有些，，，但是也已经很好很好了，现在的韩剧，已经很少这样好的了
小埋的图,保密,乀(ˉεˉ乀)跟着我摇摆~,恍若昨日
桑原芜,女,痴人前不可说梦矣。,时隔多年我看的唯一一部韩剧！！！太对胃口了！！！！
耀大王打瞌睡,男,初心不负,战歌起就想哭！！！
keylece,保密,zqsg是会遭报应的,呜呜呜呜呜我太爱鬼怪了，真是每到冬天就会想起来的剧，但我一直不敢看第二遍，太悲了最后给我哭的呀[大哭][大哭]
叶木南辛,保密,,还是高三看的呢，看完超喜欢这个插曲，还买了[爱心]
宋阿然,保密,,啊啊啊啊我的白月光啊啊啊！初中看的现在高三了我竟然还在看[微笑]每年冬天必刷剧啊，然而我永远没有看完整过最后的结局[微笑]$神仙爱情，做梦都梦不来的爱情[喜欢]
70679304825_bili,保密,,二刷啦阿加西
野比大雄的哆啦,保密,你才懒呢,大叔真的越看越帅啊
二锅头酿豆腐,保密,,先赞为敬[热词系列_锤]
